Date,Open,Close,Adj Close,Volume,High_Low
2021-02-10,1769.14,1740.78,1740.78,1219932.25474,1837.86/1680.0
2021-02-11,1740.76,1785.62,1785.62,735079.82699,1819.0/1703.44
2021-02-12,1785.83,1840.26,1840.26,909600.20653,1864.88/1739.88
2021-02-13,1840.24,1814.96,1814.96,767589.07285,1871.72/1765.0
2021-02-14,1815.25,,1800.42,675261.77873,1850.0/1784.11
2021-02-15,1800.03,1779.25,1779.25,1053474.57879,1835.72/1655.67
2021-02-16,1779.33,1781.99,1781.99,817493.47513,1827.28/1724.0
2021-02-17,1781.99,1849.88,1849.88,795711.63311,1855.0/1733.01
2021-02-18,1849.7,1939.61,1939.61,937227.10191,1950.5/1849.69
2021-02-19,1938.91,1955.0,1955.0,793404.4115,1972.82/1891.0
2021-02-20,1955.46,1913.0,1913.0,1261315.81279,2042.34/1803.14
2021-02-21,1912.9,1933.53,1933.53,756568.19743,1976.31/1883.01
2021-02-22,1933.54,1777.58,1777.58,1807244.98099,1936.29/1551.0
2021-02-23,1777.42,1577.89,1577.89,2547837.82068,1782.39/1355.0
2021-02-24,1577.79,1623.39,1623.39,1384388.81727,1712.7/1500.2
2021-02-25,1623.16,1481.75,1481.75,1032670.79409,1671.59/1459.16
2021-02-26,1482.08,1444.59,1444.59,1355973.29378,1562.25/1400.0
2021-02-27,1444.56,1458.13,1458.13,927423.0475,1529.0/1425.0
2021-02-28,1458.27,1419.18,1419.18,1410207.56284,1468.75/1293.18
2021-03-01,1418.67,1569.86,1569.86,1094695.17839,1572.0/1409.91
2021-03-02,1570.0,1486.78,1486.78,1061142.38743,1602.9/1455.52
2021-03-03,1486.79,1567.69,1567.69,1054846.31471,1656.94/1475.47
2021-03-04,1567.68,1539.23,1539.23,946365.67088,1624.87/1506.36
2021-03-05,1539.22,1528.31,1528.31,910786.28976,1548.96/1441.66
2021-03-06,1528.08,1650.35,1650.35,1013300.93928,1671.58/1513.03
2021-03-07,1650.68,1726.16,1726.16,848470.78136,1734.16/1630.35
2021-03-08,1726.46,1833.18,1833.18,1149711.39987,1843.59/1664.96
2021-03-09,1833.22,1870.51,1870.51,857229.47855,1870.77/1798.2
2021-03-10,1870.5,1795.12,1795.12,937230.62831,1877.69/1757.0
2021-03-11,1795.28,1825.78,1825.78,909011.4961,1846.7/1725.0
2021-03-12,1825.78,1766.1,1766.1,869564.6361,1841.88/1719.72
2021-03-13,1766.13,1922.35,1922.35,926283.22642,1944.3/1727.75
2021-03-14,1922.35,1848.1,1848.1,637963.63627,1933.1/1836.0
2021-03-15,1848.1,1793.48,1793.48,1025326.79658,1891.76/1730.0
2021-03-16,1793.99,1805.12,1805.12,764993.40147,1819.5/1711.68
2021-03-17,1805.01,1823.58,1823.58,658349.44843,1838.88/1741.18
2021-03-18,1823.58,1776.08,1776.08,603721.61056,1850.0/1759.04
2021-03-19,1775.92,1809.1,1809.1,500258.42875,1840.61/1733.47
2021-03-20,1809.01,1806.1,1806.1,451556.10639,1868.83/1800.86
2021-03-21,1806.57,1782.98,1782.98,465953.98749,1817.16/1747.0
2021-03-22,1783.23,,1680.97,582727.49081,1807.51/1655.15
2021-03-23,1681.17,1668.08,1668.08,577213.99589,1721.17/1650.0
2021-03-24,1668.2,1581.84,1581.84,753834.52393,1740.86/1536.92
2021-03-25,1581.88,1585.74,1585.74,701697.00258,1622.0/1549.4
2021-03-26,1585.83,1698.84,1698.84,515470.92907,1699.93/1585.79
2021-03-27,1698.84,1712.63,1712.63,443845.49957,1732.67/1666.41
2021-03-28,1712.52,1687.01,1687.01,348895.51314,1725.66/1661.4
2021-03-29,1687.16,1816.74,1816.74,647724.46387,1841.0/1677.85
2021-03-30,1816.76,1840.46,1840.46,568842.00526,1859.13/1786.3
2021-03-31,1840.41,1919.37,1919.37,746995.8591,1947.29/1768.15
2021-04-01,1919.37,1968.05,1968.05,741585.07266,1984.77/1885.02
2021-04-02,1968.05,2133.69,2133.69,846197.93215,2146.0/1948.48
2021-04-03,2133.69,2008.52,2008.52,770176.32192,2138.12/1996.3
2021-04-04,2008.59,2075.69,2075.69,514345.76554,2091.83/1975.24
2021-04-05,2075.7,2107.38,2107.38,684923.61494,2130.64/2002.15
2021-04-06,2107.43,2112.21,2112.21,673386.05575,2151.0/2044.65
2021-04-07,2112.22,1963.47,1963.47,892984.90422,2129.01/1930.01
2021-04-08,1963.46,2080.46,2080.46,501355.998,2084.61/1947.35
2021-04-09,2080.39,2066.87,2066.87,426387.4379,2100.0/2047.57
2021-04-10,2067.19,2133.49,2133.49,655458.20894,2200.0/2058.0
2021-04-11,2133.49,2151.36,2151.36,392265.50773,2165.02/2113.4
2021-04-12,2151.42,2137.69,2137.69,579093.35694,2203.46/2102.0
2021-04-13,2137.86,2299.19,2299.19,782608.6209,2318.0/2135.53
2021-04-14,2299.19,2432.6,2432.6,972931.60866,2447.29/2281.33
2021-04-15,2432.59,2514.04,2514.04,681950.96645,2543.47/2400.0
2021-04-16,2514.04,2422.67,2422.67,999163.75205,2548.29/2300.0
2021-04-17,2422.38,2317.6,2317.6,624232.25568,2495.0/2310.0
2021-04-18,2317.65,2235.64,2235.64,1475383.69204,2340.0/1946.8
2021-04-19,2235.65,2161.12,2161.12,820592.26555,2300.0/2080.0
2021-04-20,2161.12,2330.03,2330.03,992240.809,2346.62/2055.0
2021-04-21,2330.26,2357.06,2357.06,1177885.8617,2469.54/2235.16
2021-04-22,2357.06,2397.94,2397.94,2220753.09746,2644.47/2303.44
2021-04-23,2397.94,2367.39,2367.39,2532242.44185,2442.89/2107.0
2021-04-24,2367.39,2213.35,2213.35,997688.94623,2368.74/2154.8
2021-04-25,2214.08,2320.49,2320.49,857517.38218,2356.64/2168.0
2021-04-26,2320.44,2532.6,2532.6,1076469.01367,2542.8/2303.64
2021-04-27,2532.06,2666.13,2666.13,771728.46451,2680.0/2480.29
2021-04-28,2666.13,2748.24,2748.24,999383.1852,2760.0/2559.44
